"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2387.5,2397.5,2200,2199,2297.5,2100,1975,2000,2045,2400,2320,2500,2300,2297.5,2297.5,2395,2495,2700,2300
"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",12,,,,,,,,,,,,,,1699.5,1775,1775,1795,1795,1800,1895,1945,1800,1795,1825,1785,1820,1795,1899.5,1872.5,1850,1872.5,1895,1900,1895,1895,1895,1850,1850,1800,1800,1850,1895,1895,1885,1812.5,1895,1895,1800,1850,1850,1850,1895,1895,2000,2000,1995,1985,1995,1900,1950,1995,1995,1975,2000,1962.5,1997.5,1995,1999,2095,2025,1949,1995,2000,2120,2000,2050,2075,2125,2200,2100,2100,2099.5,2095,2100,2050,2075,2281,2250,2200,2250,2200,2197,2250,2292.5,2200,2197.5,2200,2295,2300,2300,2395,2345,2295,2295,2300,2200,2180
"Boston","MA","Boston-Cambridge-Newton","Suffolk County",13,,,,,,,,,,,,,3800,3600,3750,3900,3900,3875,3800,3800,3900,3825,3800,3995,4200,4000,3900,3900,3900,3900,3900,3750,3800,3900,3975,4100,4200,4150,4150,4150,4000,3900,3800,3800,3900,4000,3985,4200,4300,4275,4200,4000,4000,3900,3800,3800,3800,3650,3950,4200,4500,4500,4350,4200,4200,4000,4000,4000,4000,3995,3900,4250,4500,4500,4500,4400,4400,4300,4250,4250,4200,4000,4400,4700,4800,4800,4600,4500,4500,4400,4300,4250,4200,4100,4500,4800,5000,4900,4750,4650,4595,4500,4450,4300,4300,4300,4750
"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1925,1925,1975,1750,1750,1900,1872.5,1745,1797,1950,1825,1797,1750,1722.5,1995
"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,2295,2195,2195,2000,1800,2000,2200,2295,2195,2125,2295,2197.5,2200,2122.5,2247.5,2095,2000,1997.5
"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.5,900,975,1047.5,995,1025,975,975,995,925,912.5,895,875,910,985,1000,995,1025,970,925,900,950,950,925,999.5,962.5,925,1050,1050,987.5,995,1000,1047.5,1050,1050
"Kansas City","MO","Kansas City","Jackson County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1100,1100,1075,1075,1100,1000,997.5,1150,1125,1112.5,1150,1137.5,1150,1249,1275,1274.5,1300,1200,1175
"Colorado Springs","CO","Colorado Springs","El Paso County",18,,,,1850,1700,1895,1600,1547.5,1560,1595,1595,1497.5,1500,1497.5,1697.5,1875,1762.5,1675,1650,1650,1645,1650,1600,1600,1637,1650,1695,1795,1772.5,1650,1600,1650,1650,1600,1597.5,1647.5,1600,1650,1650,1697.5,1795,1850,1795,1850,1795,1725,1725,1700,1700,1750,1795,1950,1950,1895,1837.5,1895,1895,1875,1850,1795,1800,1800,1800,1800,1950,1897.5,1995,1925,1750,1800,1850,1925,1972.5,2000,1997.5,2095,2195,2150,2042.5,1995,2000,1995,1912.5,1895,2000,2050,2175,2195,2125,2125,2195,2125,2050,2000,1950,2000,2125,2100,2192.5,2195,2000,2250,2199,2100,2172.5,2097.5,2197.5
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.5,2297.5,2100,1995,2200,1995,2300,2197.5,2295,2195,2212.5,2225,2300,2325,2400,2147.5,2247.5,2200,2272.5,2300,2200,2259,2195,2197.5,2195,2497.5,2500,2395,2295,2350
"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",20,,,,,,,,,,,,,,,,,2395,2200,2225,2100,2200,2050,2050,2200,2197.5,2100,1950,2200,2250,2395,2250,2100,1992.5,2050,2295,2100,1925,2000,2000,2225,2300,2300,2297.5,2147.5,2300,2247.5,2200,2200,2295,2100,2100,2395,2395,2295,2000,2050,2095,2097.5,2100,2100,2200,2200,2472.5,2400,2337.5,2250,2395,2395,2347.5,2297.5,2097.5,2100,2250,2200,2275,2195,2550,2400,2462.5,2337.5,2367.5,2295,2200,2295,2200,2295,2300,2400,2400,2462.5,2495,2400,2300,2395,2395,2497.5,2500,2495,2400,2600,2500,2472.5,2650,2497.5,2395,2395,2397.5
