RegionName,State,SizeRank,January,February,March,April,May,June,July,August,September,October,November,filename
Long Beach,CA,43,2.70135135135135,2.75283021902036,2.8064146620847596,2.75,2.75,2.71107456140351,2.7916666666666696,2.7727272727272703,2.75033692722372,2.71323529411765,2.72508038585209,datasets/LB_MedianRentalPricePerSqft_1Bedroom.csv
Long Beach,CA,43,2.36530172413793,2.38276991444779,2.40724042030127,2.44988864142539,2.44150559511699,2.41432475392279,2.48108108108108,2.44398148148148,2.4159663865546204,2.3962450592885403,2.40185375460228,datasets/LB_MedianRentalPricePerSqft_2Bedroom.csv
Long Beach,CA,44,1.9222539229671898,1.93741725507502,2.0,2.0,2.08140610545791,2.0158251695553897,2.0576923076923097,2.07169811320755,2.1052631578947403,2.1049108062456203,2.14615384615385,datasets/LB_MedianRentalPricePerSqft_3Bedroom.csv
Long Beach,CA,39,1.1783610069630401,1.23697916666667,1.3076519916142602,1.2195121951219499,1.3780048712213102,1.38010350776308,1.35197066911091,1.52522935779817,1.3318836640391398,1.38648180242634,1.52313737134858,datasets/LB_MedianRentalPricePerSqft_4Bedroom.csv
