Name	Code	Doctorate	Special Degree(Juris Doctor)	Master's Degree +30	Master's Degree	Fifth Year within BA	Fifth Year Induction	Fifth Year	Baccalaureate Degree +30	Baccalaureate Degree	Associate Degree	None Reported	Total
Tincher Preparatory	6015648	0	0	2	21	0	0	0	8	1	0	0	32
Twain Elementary	6015663	0	0	2	10	0	0	0	9	2	0	0	23
Washington Middle	6061386	1	0	2	19	0	0	0	12	10	0	0	44
Webster Elementary	6015671	0	0	1	16	0	0	0	6	2	0	0	25
Whittier Elementary	6015689	1	0	2	18	0	0	0	12	8	0	0	41
Willard Elementary	6015697	1	0	1	15	0	0	0	9	3	0	0	29
Wilson High	1939875	3	0	9	75	0	0	0	47	25	0	0	159
District	1964725       	49	0	216	1,765	0	0	0	889	299	0	1	3,219
County	19	1,034	100	8,877	25,884	270	131	77	11,918	24,735	153	443	73,622
State	00	2,681	269	36,610	91,606	605	472	575	89,338	81,356	485	3,473	307,470
