address,price,details
3101+E+6th+St+APT+1,"$2,795/m",3 bds 2 ba -- sqft
5254+E+The+Toledo+APT+3,"$1,895/m",1 bd1 ba 700 sqft
930+Daisy+Ave+APT+C,"$1,295/m",Studio1 ba -- sqft
1602+Park+Ave,"$2,895/m","3 bds 2 ba 1,445 sqft"
700+E+Ocean+Blvd,"$2,650 1"," bd$3,200 2 bds $3,600+ 3 bds "
1000+E+Ocean+Blvd,"$3,995+ ",3 bds 
6841+Obispo+Ave+APT+C,"$1,650/m","2 bds 1 ba 1,000 sqft"
35+Esperanza+Ave+APT+5,"$1,595/m",1 bd1 ba -- sqft
732+Olive+Ave+APT+4,"$1,350/m",1 bd1 ba -- sqft
926+N+Loma+Vista+Dr+#+C,"$1,195/m",1 bd1 ba 625 sqft
2401+Stearnlee+Ave,"$2,495/m",2 bds 2 ba 994 sqft
67+Linden+Ave+APT+2,"$1,195/m",Studio1 ba -- sqft
3617-3627+Ocean+Blvd+#+271,"$2,795/m",2 bds 1 ba -- sqft
4864+1/2+N+Lakewood+Blvd+#+8065638,"$1,995/m",3 bds 1 ba 850 sqft
243+Temple+Ave+APT+06,"$2,395/m",2 bds 2 ba 925 sqft
2330+Locust+Ave+#+2330,"$1,145/m",Studio1 ba 450 sqft
137+W+6th+St,"$2,200+ ",2 bds 
1761+Redondo+Ave,"$1,850+ ",2 bds 
1317+E+3rd+St,"$2,750/m","2 bds 1 ba 1,300 sqft"
1670-1672+E+Market+St+1672+A+#+6071562,$850/moS,Studio1 ba -- sqft
332+1/2+Quincy+Ave,"$2,300 1"," bd$3,300 3 bds "
1230+E+Ocean+Blvd+UNIT+603,"$4,000/m","2 bds 2 ba 1,810 sqft"
966+E+2nd+St,"$1,900/m",2 bds 1 ba 750 sqft
265+Molino+Ave+APT+4,"$2,300/m",2 bds 1.5 ba -- sqft
1516+N+Stanton+Pl+APT+11,"$1,700/m",2 bds 1 ba -- sqft
1626+Pine+Ave,"$1,750/m",1 bd1 ba 700 sqft
133+E+35th+St,"$2,395/m",2 bds 1 ba -- sqft
1134+Lime+Ave+#+A1,"$3,000/m",3 bds 2 ba 900 sqft
1801+Wardlow+Rd.,"$2,195/m",2 bds 2 ba 890 sqft
1910+W+Lincoln+Street+Long+Bch,"$1,500 1"," bd$1,999 2 bds "
627+Molino+Ave,"$3,150/m","3 bds 2 ba 1,440 sqft"
1030+Coronado+Ave+APT+302,"$1,695/m",2 bds 2 ba -- sqft
2235+Locust+Ave,"$1,690/m",1 bd1 ba 818 sqft
5720-5722+Lemon+Ave+#+L,"$1,825/m",2 bds 1 ba -- sqft
2237+Locust+Ave+#+2237,"$2,080/m","2 bds 1 ba 1,069 sqft"
505-511+E.+21st+St.,"$1,895/m",1 bd1 ba -- sqft
405+W.+3rd+St.+|+405+W+3rd+St,"$1,470+ ","Studio$1,615+ 1 bd"
241+Bonito+Ave.+|+241+Bonito+Ave,"$1,550+ ","1 bd$1,895 2 bds "
1576+Locust+Ave+APT+204,"$1,395/m",1 bd1 ba -- sqft
2204+W+Cameron+St+#+A,"$1,900/m",2 bds 1 ba 650 sqft
1500+E+Ocean+Blvd+UNIT+508,"$4,200/m","3 bds 2 ba 1,551 sqft"
1207+Mira+Mar+Ave,"$1,395/m",1 bd1 ba -- sqft
452+W+10th+St+#+452,"$1,425/m",1 bd1 ba -- sqft
2510+E+6th+St,"$2,799+ ",3 bds 
2024+Lemon+Ave,"$1,295+ ",1 bd
1980+Harbor+Ave+APT+7,"$1,750/m",2 bds 1 ba -- sqft
174+Quincy+Ave+APT+1,"$1,395/m",1 bd1 ba -- sqft
219+E+10th+St,"$2,800/m","1 bd1 ba 1,400 sqft"
372+Freeman+Ave+APT+7,"$1,450/m",1 bd1 ba -- sqft
290+Bonito+Avenue+C+#+8057099,$995/moS,Studio1 ba -- sqft
379+Termino+Ave,"$1,825+ ",1 bd
729+Lime+Avenue+|+729+Lime+Ave,"$1,725 2"," bds $1,995 3 bds "
815+Bennett+Ave+APT+6,"$1,450/m",1 bd1 ba -- sqft
E+3rd+St,"$1,275/m",Studio1 ba -- sqft
1531+Junipero+Ave+APT+12,"$1,395/m",1 bd1 ba -- sqft
1153-1161+Magnolia+Avenue+1161-14+#+4376673,"$1,425/m",1 bd1 ba 659 sqft
315+W+3rd+St,"$1,425 S","tudio$1,975 1 bd"
5601+E+23rd+St+APT+3,"$1,695/m",1 bd1 ba -- sqft
303+Walnut+Ave+#+305,"$1,800/m",2 bds 1 ba -- sqft
2223+E+Spaulding+St+APT+6,"$1,295/m",1 bd1 ba 550 sqft
1609+E+4th+St,"$1,800/m",2 bds 1 ba -- sqft
1764+Freeman+Ave+APT+2,"$1,695/m",2 bds 2 ba 850 sqft
401+W+4th+Street+Chestnut+|+401+W+4th+Street+Chestnut,$650+ St,udio
1536-38+Locust+Avenue+|+1536+Locust+Ave,"$1,150+ ",Studio
2225+E+10th+St+#+8056836,"$1,150/m",1 bd1 ba -- sqft
431+E+6th+Street+|+431+E+6th+St,"$1,700 S","tudio$2,200 2 bds "
356+E+South+St+UNIT+4,"$1,195/m",Studio1 ba -- sqft
1+bed,"$1,300/m",1 bd1 ba 700 sqft
1029+Mira+Mar+Avenue+|+1029+Mira+Mar+Ave,"$2,095+ ",2 bds 
422+W+4th+St,"$1,695/m","1 bd1 ba 3,060 sqft"
1483+Atlantic+Ave+#+14836,"$1,100/m",Studio1 ba -- sqft
Bermuda+Ave,"$1,695+ ","1 bd$2,065+ 2 bds "
2720+E+4th+St+APT+G,"$1,550/m",1 bd1 ba -- sqft
935+N+Washington+Pl,"$1,695/m","2 bds 1 ba 5,912 sqft"
1626+Pine+Ave+APT+B,"$1,650/m",1 bd1 ba -- sqft
927+Daisy+Ave,"$1,595/m",2 bds 1 ba 650 sqft
545+Linden+Avenue+|+545+Linden+Ave,"$1,295+ ","Studio$1,595 1 bd"
535+Linden+Avenue+|+535+Linden+Ave,"$1,295 S","tudio$1,625 1 bd"
1190+Newport+Avenue+|+1190+Newport+Ave,"$1,595 S","tudio$2,195 2 bds "
536+Magnolia+Avenue+|+536+Magnolia+Ave,"$1,295 S","tudio$1,595 1 bd"
753+Cerritos+Ave+APT+04,"$1,795/m",2 bds 2 ba -- sqft
1216+E+3rd+St+APT+13,"$1,895/m",2 bds 1 ba -- sqft
5250+Orange+Ave+APT+25,"$1,425/m",1 bd1 ba 556 sqft
6175+Linden+Ave+APT+17,"$1,425/m",1 bd1 ba -- sqft
931+Dawson+Ave+APT+2,"$1,450/m",1 bd1 ba -- sqft
2203+N+Lakewood+Blvd,"$1,850/m",2 bds 1 ba 900 sqft
785+Termino+Ave+#+785,"$2,245/m",2 bds 1 ba -- sqft
433+Nebraska+Ave+APT+8,"$1,895/m",1 bd1 ba 680 sqft
2117+E+Ocean+Blvd,"$2,550/m","1 bd1 ba 1,400 sqft"
1575+Appleton+St.,"$1,800/m",2 bds 1 ba 800 sqft
1917+Lewis+Avenue+B+#+8054528,"$2,150/m",2 bds 1 ba 850 sqft
5120+Livingston+Dr.+|+5120+E+Livingston+Dr,"$2,295+ ",1 bd
1147+Temple+Ave+APT+B,"$1,399/m",1 bd1 ba -- sqft
3411+N+Los+Coyotes+Diagonal,"$3,195/m","3 bds 2 ba 1,386 sqft"
1738+E+4th+St+APT+2,"$1,795/m",1 bd1 ba 519 sqft
1424+E+Florida+St+APT+A,"$1,470/m",1 bd1 ba 500 sqft
1022+Locust+Ave,"$2,000+ ",2 bds 
255+Kennebec+Ave+APT+4,"$1,495/m",1 bd1 ba 600 sqft
520+E+Willow+St+APT+21,"$1,595/m",1 bd1 ba -- sqft
Furnished+Studio+-+Los+Angeles+-+Long+Beach+Airport+|+4105+E+Willow+St,"$1,785+ ",Studio
1+bed,"$1,595/m",1 bd1 ba -- sqft
3308+E+3rd+St,"$2,495/m",2 bds 1 ba 950 sqft
844+Freeman+Ave+APT+5,"$1,445/m",1 bd1 ba -- sqft
272+Belmont+Ave,"$3,250/m","3 bds 2 ba 1,984 sqft"
Inviting+Apartment+Complex+near+Metro+Line,"$1,350+ ",1 bd
411+W+Seaside+Way+UNIT+204,"$2,900/m","2 bds 2 ba 1,410 sqft"
3437+E+2nd+St+APT+D,"$1,595/m",1 bd1 ba -- sqft
2322+Locust+Ave+APT+6,"$1,150/m",Studio1 ba -- sqft
2133+1/2+Pacific+Ave,"$1,050 S","tudio$1,300+ 1 bd"
525+E+Seaside+Way,"$2,400 1"," bd$2,850 2 bds "
6708+E+De+Leon+St,"$4,100/m","3 bds 2 ba 1,042 sqft"
1134+Raymond+Ave+APT+3,"$1,395/m",1 bd1 ba -- sqft
1008+E+3rd+St+APT+02,$995/moS,Studio1 ba -- sqft
624+Stanley+Ave,"$3,499/m","3 bds 1 ba 1,112 sqft"
1919+E+Beverly+Way+APT+207,"$2,400/m","2 bds 2 ba 1,085 sqft"
2222+E+1st+St+APT+5,"$1,550/m",1 bd1 ba 750 sqft
225+W+5th+St+APT+5,"$1,395/m",1 bd1 ba 651 sqft
1023+E+1st+St+UNIT+18,"$1,550/m",1 bd1 ba 807 sqft
178+Argonne+Ave,"$2,700/m","2 bds 1 ba 1,050 sqft"
3930+E+11th+St+APT+202,"$1,695/m",2 bds 2 ba -- sqft
725+W+Hill+St,"$1,850/m",2 bds 1 ba 648 sqft
1620+E+Appleton+St+APT+6,"$1,225/m",1 bd1 ba -- sqft
1101-1121+Gaviota+Avenue+|+1101+Gaviota+Ave,"$1,795+ ",2 bds 
636+Chestnut+Ave+APT+302,"$1,395/m",Studio1 ba -- sqft
1846+Olive+Ave+APT+04,"$1,495/m",2 bds 1 ba -- sqft
636+Chestnut+Ave+APT+302,"$1,395/m",Studio1 ba -- sqft
435+Orange+Ave+APT+3,"$1,200/m",Studio1 ba -- sqft
2745+E+10th+St,"$1,400+/",1 bd1 ba -- sqft
E+2nd+St,"$3,150/m","2 bds 1 ba 1,000 sqft"
2206+Gondar+Ave,"$3,295/m","4 bds 3 ba 1,943 sqft"
Daisy+Street+Condominiums+|+250+Linden+Ave,"$1,450+ ",1 bd
776+Stanley+Ave,"$2,800/m","3 bds 2 ba 1,285 sqft"
1409+Magnolia+Ave+APT+B,"$1,950/m",3 bds 1 ba 800 sqft
3605+E+Anaheim+St+UNIT+413,"$2,800/m","3 bds 2 ba 1,104 sqft"
1127+Ximeno+Ave,"$1,800+ ",2 bds 
726+Elm+Ave+UNIT+203,"$2,100/m","2 bds 2 ba 1,000 sqft"
26+10th+Pl+APT+6,"$3,195/m","2 bds 1 ba 1,046 sqft"
363+Newport+Ave+UNIT+210,"$1,950/m",1 bd1 ba 650 sqft
4244+E+5th+St,"$1,650 1"," bd$2,350 2 bds "
The+Palms+Condominiums+|+3464+Hathaway+Ave,"$1,800+ ",1 bd
1585-1595+Chestnut+Avenue+|+1585-1595+Chestnut+Ave,"$1,450+ ",2 bds 
1110+E+59th+St,"$1,295/m",1 bd1 ba 600 sqft
2015+E+7th+St+#+MSHHGQRMJ,"$2,195/m","3 bds 1 ba 1,200 sqft"
197+E+71st+Way+#+2,"$1,350/m",1 bd1 ba 410 sqft
1010+Orange+Ave+APT+7,"$1,350/m",1 bd1 ba 610 sqft
2019+E+7th+St+#+2019+E,"$2,195/m","3 bds 1 ba 1,200 sqft"
5101+E+Anaheim+St,"$2,250+ ",2 bds 
4600+E+7th+St,"$1,450/m",1 bd1 ba 700 sqft
5217+E+Spring+St,"$2,800/m","3 bds 1 ba 1,118 sqft"
1812+E+1st+St,"$2,700/m",2 bds 1 ba 905 sqft
828+Orizaba+Ave,"$2,600/m","3 bds 2 ba 1,300 sqft"
Euclid+Ave,"$2,250/m",1 bd1 ba 684 sqft
1401+N+Greenbrier+Rd+APT+302,"$2,375/m","2 bds 2 ba 1,100 sqft"
1245+E+3rd+St+APT+4,"$2,095/m",2 bds 2 ba 930 sqft
4211+E+5th+St+APT+2,"$1,650/m",1 bd1 ba 585 sqft
1724+Lemon+Ave,"$1,850+ ",2 bds 
325+W+3rd+St,"$1,200/m",1 bd1 ba 440 sqft
1310+E+Ocean+Blvd,"$3,595+ ",2 bds 
3516+E+3rd+St+APT+2,"$1,250/m",Studio1 ba -- sqft
1060+E+6th+St+APT+1,"$1,150/m",Studio1 ba 260 sqft
1332+Stanley+Ave+#+1332,"$1,850/m",2 bds 1 ba 615 sqft
131+Bonito+Ave+APT+1,"$1,450/m",1 bd1 ba 445 sqft
4501+E+14th+St,"$2,100/m",2 bds 1 ba 750 sqft
558+Rose+Ave,"$1,995/m",2 bds 1 ba -- sqft
1119+Saint+Louis+Ave+APT+6,"$1,395/m",Studio1 ba 375 sqft
445+E+3rd+Street+|+445+E+3rd+St,"$1,395+ ",Studio
1127+E+4th+St+APT+206,"$1,995/m",2 bds 2 ba -- sqft
1132+E+San+Antonio+Dr,"$1,525/m",1 bd1 ba -- sqft
622+Walnut+Ave,"$1,700/m","3 bds 1 ba 1,100 sqft"
4668+E+Barker+Way,"$2,300+ ",2 bds 
4700+Clair+Del+Ave+APT+536,"$1,895/m",2 bds 1 ba 779 sqft
4228+N+Lakewood+Blvd+APT+D,"$1,395/m",1 bd1 ba -- sqft
1765+Obispo+Ave+APT+07,"$1,450/m",1 bd1 ba -- sqft
3638+E+Ocean+Blvd+APT+5,"$2,595/m",2 bds 1 ba 975 sqft
1126+E+5th+Street+|+1126+E+5th+St,"$1,495+ ","2 bds $2,095 3 bds "
370+Obispo+Ave+APT+1,"$2,700/m","2 bds 1 ba 1,200 sqft"
W+7th+St,"$1,795/m","1 bd1.5 ba 1,000 sqft"
911+Elm+Ave,"$1,495/m",1 bd1 ba -- sqft
734+Gaviota+Ave+#+734,"$2,890/m",5 bds 2 ba -- sqft
3+bed,"$2,100/m",3 bds 1 ba 950 sqft
2200+E+6th+St,"$1,795+ ",2 bds 
218+Loma+Ave+APT+6,"$2,150/m",2 bds 1 ba 850 sqft
2310+E+5th+St+APT+1,"$2,995/m","3 bds 3 ba 1,000 sqft"
1086+Stanley+Ave+APT+304,"$2,250/m",2 bds 2 ba 900 sqft
1730+Locust+Ave,"$2,563/m","3 bds 2 ba 1,500 sqft"
1614+Cherry+Ave+APT+8,"$1,895/m",2 bds 1 ba -- sqft
1109+E+1st+St+APT+11,"$1,550/m",Studio1 ba 380 sqft
1050+Gaviota+Ave,"$1,895 2"," bds $2,495 3 bds "
1424+E+53rd+St,"$2,100/m","2 bds 1 ba 1,000 sqft"
3933+E+Broadway+APT+307,"$1,295/m",Studio1 ba -- sqft
315+Obispo+Avenue+|+315+Obispo+Ave,"$1,775+ ",2 bds 
18+Via+Di+Roma+Walk,"$4,700/m","2 bds 2 ba 1,390 sqft"
1442+Henderson+Ave,"$1,650/m",2 bds 1 ba 950 sqft
Hathaway+Ave,"$2,550/m",2 bds 2 ba 900 sqft
1095+Orange+Ave+APT+3,"$1,325/m",1 bd1 ba -- sqft
2400+E+2nd+St,"$1,850+/",1 bd1 ba -- sqft
555+E+San+Antonio+Dr+APT+1,"$1,695/m",2 bds 1 ba 900 sqft
1035+Raymond+Ave,"$1,995/m","3 bds 2 ba 1,650 sqft"
636+Linden+Ave+APT+10,"$1,250/m",Studio1 ba -- sqft
2315+Earl+Ave+APT+302,"$1,750/m",2 bds 1.5 ba -- sqft
721+E+7th+St+APT+103,"$1,150/m",Studio1 ba -- sqft
441+Dawson+Ave+APT+D,"$1,595/m",1 bd1 ba 400 sqft
1122+Gladys+Ave+APT+7,"$1,195/m",Studio1 ba -- sqft
214+Glendora+Ave,"$3,600/m","2 bds 1 ba 1,002 sqft"
2131+Tevis+Ave,"$3,400/m","4 bds 2 ba 2,400 sqft"
1625+E+4th+Street+|+1625+E+4th+St,"$1,295+ ",Studio
1211+Magnolia+Ave+APT+4,"$1,395/m",1 bd1 ba -- sqft
41+Nieto+Ave+#+A,"$2,250/m","2 bds 1 ba 1,000 sqft"
3560+Ely+Ave,"$2,800/m","3 bds 2 ba 1,064 sqft"
2192+Pacific+Ave,"$2,000/m","2 bds 1 ba 1,209 sqft"
770+Roswell+Ave+APT+8,"$1,795/m",2 bds 1 ba 700 sqft
1+bed,"$1,575/m",1 bd1 ba 550 sqft
246+Santa+Ana+Ave+APT+9,"$1,750/m",1 bd1 ba -- sqft
3549+Josie+Ave,"$2,795/m",3 bds 1 ba 946 sqft
1538+E+3rd+St,"$1,150/m",Studio1 ba -- sqft
1345+Stanley+Ave,"$1,200/m",1 bd1 ba -- sqft
701+Ohio+Ave+APT+5,"$1,150/m",Studio1 ba 410 sqft
211+Mira+Mar+Ave+#+WDJK33W,"$1,800/m",Studio1 ba 600 sqft
1722+Coronado+Ave,"$1,450/m","2 bds 1 ba 1,000 sqft"
2104+E+Florida+St+#+UTITI,"$2,150/m",1 bd1 ba 795 sqft
E+2nd+St,"$2,900/m","2 bds 2 ba 1,222 sqft"
Lindenwood+Condominiums+|+3565+Linden+Ave,"$1,675 1"," bd$1,695 2 bds "
1054+Ximeno+Ave,"$2,000/m",2 bds 1 ba 732 sqft
7890+E+Spring+St+UNIT+22A,"$1,700/m",1 bd1 ba 633 sqft
2636+Fashion+Ave,"$2,895/m",3 bds 1 ba 978 sqft
1516+Cedar+Ave+#+1516,"$1,695/m",1 bd1 ba -- sqft
385+-+House,"$3,250+/",4 bds 2 ba -- sqft
2088+Chestnut+Ave+APT+2,"$1,895/m","2 bds 1 ba 1,200 sqft"
3117+E+6th+St+APT+3,"$2,045/m",2 bds 1 ba 800 sqft
1310+Junipero+Ave,"$2,300/m",2 bds 1 ba -- sqft
1516+N+Stanton+Pl+APT+1,"$2,395/m",3 bds 1 ba -- sqft
3416+E+2nd+St,"$1,650/m",1 bd1 ba -- sqft
591+John+K+Dr+UNIT+102,"$3,400/m","3 bds 2.5 ba 1,974 sqft"
2240+Santa+Fe+Ave+APT+E,"$1,195/m",1 bd1 ba 450 sqft
985+N+Park+Cir+APT+5,"$1,350/m",1 bd1 ba -- sqft
468+Gaviota+Ave+APT+07,"$1,195/m",Studio1 ba -- sqft
350+Wisconsin+Ave+APT+7,"$1,995/m",2 bds 1 ba 720 sqft
3101+E+Coolidge+St,"$3,050/m","4 bds 2 ba 1,300 sqft"
535+W+3rd+Street+|+535+W+3rd+St,"$1,795+ ",2 bds 
535+W+3rd+St+APT+9,"$1,400/m",1 bd1 ba -- sqft
1030+E+Ocean+Blvd,"$1,500 S","tudio$1,850 1 bd"
1857+Hackett+Ave,"$3,995/m","3 bds 2 ba 1,573 sqft"
1906+E+1st+St+APT+1A,"$2,150/m",2 bds 1 ba 900 sqft
2075+E+Appleton+St+UNIT+27,"$1,795/m",1 bd1 ba 724 sqft
1100+E+3rd+St+APT+103,"$2,495/m","1 bd1 ba 1,220 sqft"
1625+E+4th+Street+|+1625+E+4th+St,"$1,295+ ",Studio
1211+Magnolia+Ave+APT+4,"$1,395/m",1 bd1 ba -- sqft
41+Nieto+Ave+#+A,"$2,250/m","2 bds 1 ba 1,000 sqft"
3560+Ely+Ave,"$2,800/m","3 bds 2 ba 1,064 sqft"
2192+Pacific+Ave,"$2,000/m","2 bds 1 ba 1,209 sqft"
770+Roswell+Ave+APT+8,"$1,795/m",2 bds 1 ba 700 sqft
1+bed,"$1,575/m",1 bd1 ba 550 sqft
246+Santa+Ana+Ave+APT+9,"$1,750/m",1 bd1 ba -- sqft
3549+Josie+Ave,"$2,795/m",3 bds 1 ba 946 sqft
1538+E+3rd+St,"$1,150/m",Studio1 ba -- sqft
1345+Stanley+Ave,"$1,200/m",1 bd1 ba -- sqft
701+Ohio+Ave+APT+5,"$1,150/m",Studio1 ba 410 sqft
211+Mira+Mar+Ave+#+WDJK33W,"$1,800/m",Studio1 ba 600 sqft
1722+Coronado+Ave,"$1,450/m","2 bds 1 ba 1,000 sqft"
2104+E+Florida+St+#+UTITI,"$2,150/m",1 bd1 ba 795 sqft
E+2nd+St,"$2,900/m","2 bds 2 ba 1,222 sqft"
Lindenwood+Condominiums+|+3565+Linden+Ave,"$1,675 1"," bd$1,695 2 bds "
1054+Ximeno+Ave,"$2,000/m",2 bds 1 ba 732 sqft
7890+E+Spring+St+UNIT+22A,"$1,700/m",1 bd1 ba 633 sqft
1516+Cedar+Ave+#+1516,"$1,695/m",1 bd1 ba -- sqft
2636+Fashion+Ave,"$2,895/m",3 bds 1 ba 978 sqft
385+-+House,"$3,250+/",4 bds 2 ba -- sqft
2088+Chestnut+Ave+APT+2,"$1,895/m","2 bds 1 ba 1,200 sqft"
3117+E+6th+St+APT+3,"$2,045/m",2 bds 1 ba 800 sqft
1310+Junipero+Ave,"$2,300/m",2 bds 1 ba -- sqft
1516+N+Stanton+Pl+APT+1,"$2,395/m",3 bds 1 ba -- sqft
3416+E+2nd+St,"$1,650/m",1 bd1 ba -- sqft
591+John+K+Dr+UNIT+102,"$3,400/m","3 bds 2.5 ba 1,974 sqft"
2240+Santa+Fe+Ave+APT+E,"$1,195/m",1 bd1 ba 450 sqft
985+N+Park+Cir+APT+5,"$1,350/m",1 bd1 ba -- sqft
468+Gaviota+Ave+APT+07,"$1,195/m",Studio1 ba -- sqft
350+Wisconsin+Ave+APT+7,"$1,995/m",2 bds 1 ba 720 sqft
3101+E+Coolidge+St,"$3,050/m","4 bds 2 ba 1,300 sqft"
535+W+3rd+St+APT+9,"$1,400/m",1 bd1 ba -- sqft
535+W+3rd+Street+|+535+W+3rd+St,"$1,795+ ",2 bds 
1030+E+Ocean+Blvd,"$1,500 S","tudio$1,850 1 bd"
1857+Hackett+Ave,"$3,995/m","3 bds 2 ba 1,573 sqft"
1906+E+1st+St+APT+1A,"$2,150/m",2 bds 1 ba 900 sqft
2075+E+Appleton+St+UNIT+27,"$1,795/m",1 bd1 ba 724 sqft
1100+E+3rd+St+APT+103,"$2,495/m","1 bd1 ba 1,220 sqft"
75+Granada+Ave+APT+D,"$1,900/m",Studio1 ba 350 sqft
2126+E+1st+St,"$3,795/m","3 bds 2 ba 2,250 sqft"
4119+E+Ocean+Blvd+APT+5,"$1,350/m",Studio1 ba 400 sqft
840+Martin+Luther+King+Jr+Avenue+|+840+Martin+Luther+King+Jr+Ave,"$1,550+ ",2 bds 
349+N+Colorado+Pl,"$1,350+ ",1 bd
Gladys+Ave,"$1,500/m",1 bd1 ba 700 sqft
231+Belmont+Ave+APT+10,"$1,395/m",Studio1 ba 400 sqft
618+Newport+Ave+#+B,"$1,395/m",Studio1 ba 400 sqft
1316-1322+3rd+Street+|+1316-1322+3rd+St,"$2,295+ ",2 bds 
460+Almond+Avenue+|+460+Almond+Ave,"$1,850+ ",2 bds 
4112+E+7th+St+APT+G,"$1,995/m",2 bds 2 ba 800 sqft
2722+E+3rd+St,"$1,395/m",1 bd1 ba -- sqft
3050+E+5th+St,"$1,650/m",2 bds 1 ba -- sqft
1260+E+4th+St+APT+6,"$1,750/m",2 bds 2 ba 905 sqft
310+Redondo+Ave+APT+105,"$2,375/m","2 bds 2.5 ba 1,000 sqft"
280+Molino+Ave+UNIT+305,"$1,695/m",1 bd1 ba 768 sqft
4781+E+Pacific+Coast+Hwy,"$2,200/m",2 bds 1 ba 800 sqft
4588+N+Banner+Dr+APT+4,"$1,400/m",1 bd1 ba -- sqft
455+Rose+Ave+APT+7,"$1,995/m",2 bds 1 ba 825 sqft
1015+E+Appleton+St+APT+1,"$1,600/m",1 bd1 ba -- sqft
2163+Earl+Ave+#+2159,"$2,150/m",2 bds 1 ba 750 sqft
3520+Elm+Ave+APT+9,"$1,950/m",2 bds 1 ba -- sqft
2102+Earl+Ave,"$1,900/m",2 bds 2 ba 950 sqft
2104+Earl+Ave,"$2,000/m",2 bds 2 ba 950 sqft
2106+Earl+Ave,"$1,900/m",2 bds 2 ba 950 sqft
165+Covina+Ave+APT+4,"$2,295/m",2 bds 1 ba 900 sqft
1607+Molino+Ave+APT+B,"$2,975/m","3 bds 2 ba 1,250 sqft"
2167+Earl+Ave,"$2,145+ ",3 bds 
1505+E+11th+St+APT+09,"$1,799/m",2 bds 2 ba -- sqft
314+E+8th+St+#+8007217,"$1,795/m",2 bds 1 ba 874 sqft
3220+E+2nd+St+3220-a+#+8007309,"$3,895/m",3 bds 2 ba -- sqft
215+Euclid+Avenue+|+215+Euclid+Ave,"$2,295 1"," bd$2,495 2 bds "
1019+Lewis+Ave+APT+2,"$1,950/m",2 bds 1 ba 800 sqft
Vista+Del+Golfo,"$7,500/m","4 bds 3 ba 2,738 sqft"
508+E+6th+St+#+6492251,"$1,250/m",Studio1 ba -- sqft
2025+Cedar+Ave+APT+6,"$1,525/m",2 bds 1 ba -- sqft
727+E+7th+St+APT+201,"$1,375/m",1 bd1 ba -- sqft
1727+Obispo+Avenue+|+1727+Obispo+Ave,"$1,395+ ","1 bd$1,695 2 bds "
1740+N+Stanton+Pl+APT+7,"$2,295/m",2 bds 2 ba 950 sqft
2111+E+7th+Street+|+2111+E+7th+St,"$1,395+ ",1 bd
2111+E+7th+Street+|+2111+E+7th+St,"$1,395+ ",1 bd
5975+Myrtle+Ave,"$1,795/m",2 bds 1 ba 950 sqft
2225+San+Anseline+Ave+APT+6,"$2,350/m",2 bds 1 ba -- sqft
5201+E+Anaheim+Rd+APT+7,"$2,650/m",3 bds 1.5 ba -- sqft
5505+Ackerfield+Ave+APT+212,"$2,100/m",2 bds 2 ba 904 sqft
5135+N+Via+Veranada,"$1,650/m",2 bds 1 ba 700 sqft
1959+Chestnut+Ave+APT+309,"$2,126/m",2 bds 2 ba 860 sqft
1750+E+Ocean+Blvd,"$2,250+ ",1 bd
3634+E+5th+St,"$3,900/m","4 bds 2 ba 1,442 sqft"
3690-92+Country+Club+Drive+|+3690-92+Country+Club+Dr,"$2,395+ ",3 bds 
1746+E+10th+St+APT+6,"$1,850/m",2 bds 1 ba -- sqft
1060+Walnut+Ave+APT+301,"$1,350/m",Studio1 ba 550 sqft
Martin+Apartments+|+3656+E+1st+St,"$1,525 1"," bd$1,900 2 bds "
100+W+5th+St+UNIT+3F,"$2,950/m","1 bd1 ba 1,244 sqft"
640+Elm+Ave+APT+24,"$1,395/m",1 bd1 ba 703 sqft
92+E+Louise+St,"$1,700/m",2 bds 1 ba 740 sqft
271+Corona+Ave+APT+3,"$1,575/m",1 bd1 ba 625 sqft
125+Cherry+Ave,"$1,845+ ",1 bd
1857+Atlantic+Ave,"$2,350/m","2 bds 2 ba 1,037 sqft"
830+Temple+Avenue+830+Temple+Ave+#+7989583,"$2,500/m","2 bds 1 ba 1,000 sqft"
1440+E+Florida+Street+|+1440+E+Florida+St,"$1,650 1"," bd$1,900 2 bds "
116+Bennett+Ave,"$3,195+ ",2 bds 
1125+E+Carson+St+APT+7,"$1,550/m",1 bd1 ba -- sqft
1022+Ohio+Ave,"$2,800/m","3 bds 2 ba 1,700 sqft"
45+W+Bort+St+APT+4,"$1,595/m",2 bds 1 ba 800 sqft
1050+Gladys+Ave+APT+6,"$1,895/m",2 bds 2 ba -- sqft
2701+E+10th+St,"$2,095/m",2 bds 1 ba 750 sqft
1620+Gundry+Ave+APT+B,"$1,695/m",3 bds 1 ba 900 sqft
55+Ximeno+Ave+APT+B,"$1,575/m",1 bd1 ba -- sqft
1102+Dawson+Ave+APT+1,"$1,050/m",Studio1 ba -- sqft
4471+Atlantic+Ave+APT+2,"$1,595/m",2 bds 1 ba 756 sqft
1430+Cherry+Ave+APT+9,"$1,050/m",1 bd1 ba -- sqft
241+Redondo+Ave+APT+24,"$1,425/m",1 bd1 ba -- sqft
3700+E+Ocean+Blvd+APT+4,"$1,850/m",1 bd1 ba -- sqft
1+bed,"$1,550/m",1 bd1 ba -- sqft
Cooper+Arms+|+455+E+Ocean+Blvd,"$1,975+ ",1 bd
624+W+5th+St+APT+05,"$1,195/m",Studio1 ba -- sqft
