address,price,details
6815+E+Pageantry+St,"$819,000","3 bds 2 ba 1,328 sqft"
3810+E+1st+St,"$925,000","3 bds 1 ba 1,308 sqft"
4619+Sunfield+Ave,"$985,000","5 bds 4 ba 2,242 sqft"
311+E+Eleanor+Ln,"$519,900","3 bds 2 ba 1,085 sqft"
6432+E+Wardlow+Rd,"$680,000","3 bds 1 ba 1,243 sqft"
3438+Woodruff+Ave,"$629,900","3 bds 2 ba 1,386 sqft"
710+E+Sunrise+Blvd,"$999,000","3 bds 4 ba 3,177 sqft"
1485+Obispo+Ave+APT+6,"$300,000",2 bds 1 ba 850 sqft
3450+N+El+Dorado+Dr,"$845,000","3 bds 2 ba 1,710 sqft"
2237+N+Bellflower+Blvd,"$699,000","3 bds 1 ba 1,100 sqft"
5845+Rose+Ave,"$515,000","3 bds 1 ba 1,024 sqft"
800+Pacific+Ave+APT+205,"$249,900",1 bd1 ba 672 sqft
1770+Ximeno+Ave+APT+306,"$380,000","2 bds 2 ba 1,076 sqft"
1091+Lewis+Ave,"$748,000","4 bds 2 ba 1,400 sqft"
2999+E+Ocean+Blvd+UNIT+1830,"$1,018,888","3 bds 2 ba 1,510 sqft"
3565+N+Weston+Pl,"$689,000","3 bds 2 ba 1,340 sqft"
367+Coronado+Ave,"$1,249,000","4 bds 3 ba 2,654 sqft"
176+Granada+Ave,"$1,150,000","3 bds 2 ba 1,669 sqft"
2020+W+23rd+St+APT+10,"$335,000",3 bds 2 ba 950 sqft
3441+Adriatic+Ave,"$469,000","3 bds 2 ba 1,222 sqft"
1121+E+Hellman+St,"$539,990","3 bds 2 ba 1,142 sqft"
3720+E+Wilton+St,"$839,000","5 bds 4 ba 2,100 sqft"
3845+Cedar+Ave,"$1,197,000","4 bds 4 ba 3,126 sqft"
328+Eliot+Ln,"$829,900","3 bds 1 ba 1,013 sqft"
5890+Gardenia+Ave,"$684,000","3 bds 2 ba 1,600 sqft"
2261+Euclid+Ave,"$799,900","4 bds 2 ba 1,536 sqft"
564+N+Bellflower+Blvd+UNIT+215,"$495,000","2 bds 2 ba 1,028 sqft"
1405+E+1st+St+APT+11,"$315,000",1 bd1 ba 605 sqft
3090+Elm+Ave,"$929,900","5 bds 6 ba 3,229 sqft"
249+Tivoli+Dr,"$1,347,000","4 bds 3 ba 2,843 sqft"
3901+E+Livingston+Dr+UNIT+201,"$509,000","2 bds 2 ba 1,145 sqft"
835+Locust+Ave+UNIT+414,"$564,900",1 bd1 ba 997 sqft
1350000,"$1,350,000","4 bds 5 ba 3,232 sqft"
2425+E+1st+St,"$1,500,000","5 bds 5 ba 3,835 sqft"
4937+E+Colorado+St,"$1,349,000","6 bds 4 ba 3,595 sqft"
3925+E+5th+St+#+1A,$--,"3 bds 3 ba 1,822 sqft"
1365+Termino+Ave,"$749,000","3 bds 2 ba 1,491 sqft"
4619+E+4th+St+#+2,"$605,000","2 bds 2 ba 1,401 sqft"
233+E+Louise+St,"$399,000",2 bds 2 ba 672 sqft
360+W+Ocean+Blvd+APT+209,"$299,000",Studio1 ba 490 sqft
3605+E+Anaheim+St+UNIT+317,"$410,000",2 bds 2 ba 925 sqft
325+Elm+Ave+APT+106,"$245,000",Studio1 ba 473 sqft
144+N+Loreta+Walk,"$940,000","2 bds 1 ba 1,027 sqft"
5341+E+El+Parque+St,"$2,000,000","4 bds 4 ba 3,929 sqft"
382+Coronado+Ave+APT+306A,"$440,000","2 bds 2 ba 1,030 sqft"
837+Chestnut+Ave+APT+12,"$249,000",1 bd1 ba 611 sqft
3918+Elm+Ave,"$1,225,000","4 bds 4 ba 3,463 sqft"
22+Prospect+Ave,"$1,239,000","3 bds 2 ba 1,770 sqft"
2288+Albury+Ave,"$949,900","5 bds 3 ba 3,030 sqft"
3024+E+Broadway,"$725,000",2 bds 2 ba 888 sqft
4319+N+Country+Club+Ln,"$2,390,000","5 bds 5 ba 4,522 sqft"
461+E+63rd+St,"$487,196","3 bds 1 ba 1,115 sqft"
2271+Roswell+Ave,"$775,000","4 bds 3 ba 1,990 sqft"
6025+Loynes+Dr+#+5,"$710,000","3 bds 3 ba 1,857 sqft"
1870+Daisy+Ave,"$675,000","2 bds 2 ba 1,295 sqft"
5959+E+Naples+Plz+UNIT+209,"$675,000","3 bds 2 ba 1,006 sqft"
2735+Hackett+Ave,"$714,000","3 bds 2 ba 1,173 sqft"
224+Roycroft+Ave,"$1,249,900","3 bds 2 ba 1,937 sqft"
3595+Santa+Fe+Ave+SPC+199,"$514,500","4 bds 2 ba 1,760 sqft"
5415+E+Scrivener+St,"$849,999","4 bds 3 ba 1,886 sqft"
3050+Oregon+Ave,$--,"4 bds 2 ba 1,306 sqft"
321+E+Bort+St,"$530,000","3 bds 2 ba 1,479 sqft"
177+E+67th+St,"$574,900","2 bds 2 ba 1,034 sqft"
488+E+Ocean+Blvd+UNIT+1015,"$435,000",1 bd1 ba 720 sqft
1831+E+Appleton+St+APT+11,"$289,000",1 bd1 ba 623 sqft
2420+Gondar+Ave,"$760,000","3 bds 2 ba 1,300 sqft"
2248+Radnor+Ave,"$1,150,000","3 bds 3 ba 2,164 sqft"
400+W+Ocean+Blvd+UNIT+803,"$660,000","2 bds 2 ba 1,440 sqft"
5500+Ackerfield+Ave+UNIT+405,"$275,000",2 bds 1 ba 873 sqft
20+Palermo+Walk,"$1,949,000","3 bds 3 ba 2,450 sqft"
140+Syracuse+Walk,"$1,174,000","3 bds 2 ba 1,463 sqft"
2621+Vuelta+Grande+Ave,"$745,000","3 bds 2 ba 1,555 sqft"
2343+E+17th+St+UNIT+311,"$329,000",2 bds 2 ba 822 sqft
4485+Myrtle+Ave,"$1,400,000","6 bds 4 ba 2,944 sqft"
5585+E+Pacific+Coast+Hwy+UNIT+154,"$363,000",2 bds 2 ba 913 sqft
4242+Locust+Ave,"$1,349,000","3 bds 3 ba 2,964 sqft"
411+W+Seaside+Way+UNIT+505,"$590,000","2 bds 2 ba 1,040 sqft"
6255+Riviera+Cir,"$829,900","3 bds 3 ba 2,206 sqft"
11+W+Barclay+St,"$625,000","3 bds 3 ba 1,903 sqft"
620+Flint+Ave,"$1,250,000","3 bds 3 ba 2,596 sqft"
454+E+Adair+St,"$454,900","3 bds 2 ba 1,349 sqft"
5775+E+Corso+Di+Napoli,"$3,995,000","3 bds 3 ba 2,339 sqft"
1+E+Neapolitan+Ln,"$2,250,000","4 bds 5 ba 3,000 sqft"
4208+Tulane+Ave,"$1,423,500","5 bds 4 ba 3,850 sqft"
3565+Linden+Ave+UNIT+208,"$295,000",1 bd1 ba 706 sqft
388+E+Ocean+Blvd+706+#+706,"$345,000",1 bd1 ba 680 sqft
6255+E+Sea+Breeze+Dr+#+28,"$229,000","3 bds 2 ba 1,488 sqft"
5421+Heron+Bay,"$899,900","3 bds 3 ba 1,769 sqft"
4598+Vacant+Land,"$98,500","1,184 sqft lot"
1109+E+1st+St+APT+9,"$239,000",Studio1 ba 403 sqft
3540+Orange+Ave,"$1,250,000","5 bds 4 ba 2,710 sqft"
247+E+Randolph+Pl,"$925,500","3 bds 2 ba 1,410 sqft"
5058+E+Atherton+St,"$530,000","2 bds 2 ba 1,168 sqft"
550+Orange+Ave+UNIT+139,"$329,000",1 bd1 ba 697 sqft
207+E+Broadway+APT+801,"$2,490,000","2 bds 2 ba 2,810 sqft"
955+E+3rd+St+UNIT+303,"$459,000","2 bds 2 ba 1,085 sqft"
5557+E+Sorrento+Dr,"$3,698,000","6 bds 5 ba 3,619 sqft"
110+Cordova+Walk,"$1,499,000","4 bds 4 ba 2,505 sqft"
5681+E+Vernon+St,$--,"3 bds 2 ba 1,574 sqft"
3420+Armourdale+Ave,"$920,000","5 bds 3 ba 2,230 sqft"
1111+E+Appleton+St+APT+3,"$299,900",1 bd1 ba 701 sqft
26+Loma+Ave,"$510,000","2 bds 2 ba 1,191 sqft"
370+Wisconsin+Ave+UNIT+306,"$425,000","2 bds 2 ba 1,027 sqft"
6264+E+Marina+View+Dr+#+313,"$185,000",2 bds 2 ba 960 sqft
325+Cedar+Ave+UNIT+9,"$297,000",1 bd1 ba 818 sqft
831+Pine+Ave,"$634,900","1 bd1 ba 1,606 sqft"
6218+E+Sea+Breeze+Dr,"$232,500","3 bds 2 ba 1,224 sqft"
