,address,price,details,zipcode,lat,lng,zpid,link
43,1720 Obispo Ave #6,"$1,695+/",2 bds 1 ba 800 sqft,90804,33.788459,-118.154262,2082911802,https://www.zillow.com/homedetails/1720-Obispo-Ave-APT-6-Long-Beach-CA-90804/2082911802_zpid/
45,1440 E South St APT 34,"$1,300/m",1 bd1 ba 700 sqft,90805,33.860132,-118.174615,2081541390,https://www.zillow.com/homedetails/1440-E-South-St-APT-34-Long-Beach-CA-90805/2081541390_zpid/
48,231 Grand Ave APT 2,"$1,595/m",1 bd1 ba 690 sqft,90803,33.764732,-118.148376,2102754686,https://www.zillow.com/homedetails/231-Grand-Ave-APT-2-Long-Beach-CA-90803/2102754686_zpid/
49,640 W 4th St,"$1,800+ ",1 bd,90802,33.771324,-118.200253,2106244665,https://www.zillow.com/homedetails/640-W-4th-St-Long-Beach-CA-90802/2106244665_zpid/
50,955 1/2 E 4th St,"$2,200/m","2 bds 1 ba 1,100 sqft",90802,33.772001,-118.180136,2086971344,https://www.zillow.com/homedetails/955-1-2-E-4th-St-Long-Beach-CA-90802/2086971344_zpid/
52,2022 E 7th St APT 6,"$1,895/m",2 bds 2 ba -- sqft,90804,33.775034,-118.167133,2110020430,https://www.zillow.com/homedetails/2022-E-7th-St-APT-6-Long-Beach-CA-90804/2110020430_zpid/
53,220 Mira Mar Ave,"$3,150/m","3 bds 2.5 ba 4,535 sqft",90803,33.763886,-118.14668,250342703,https://www.zillow.com/homedetails/220-Mira-Mar-Ave-Long-Beach-CA-90803/250342703_zpid/
54,3529 E 3rd St,"$1,350 1"," bd$1,895 2 bds ",90814,33.768375,-118.150639,2090350966,https://www.zillow.com/homedetails/3529-E-3rd-St-Long-Beach-CA-90814/2090350966_zpid/
57,2527 Elm Ave APT B,"$1,795/m",1 bd1 ba 650 sqft,90806,33.803126,-118.188512,2097079789,https://www.zillow.com/homedetails/2527-Elm-Ave-APT-B-Long-Beach-CA-90806/2097079789_zpid/
58,450 Daroca Ave,"$3,300/m","4 bds 2 ba 1,688 sqft",90803,33.770975,-118.110413,21210045,https://www.zillow.com/homedetails/450-Daroca-Ave-Long-Beach-CA-90803/21210045_zpid/
