,address,price,details,zipcode,latitude,longitude,zpid,link
30,4774 E Malta St APT 1,"$549,900","3 bds 3 ba 1,660 sqft",90815,33.787051,-118.13694,83894878,https://www.zillow.com/homedetails/4774-E-Malta-St-APT-1-Long-Beach-CA-90815/83894878_zpid/
31,3603 Ostrom Ave,"$784,900","3 bds 2 ba 1,659 sqft",90808,33.823118,-118.101258,21137081,https://www.zillow.com/homedetails/3603-Ostrom-Ave-Long-Beach-CA-90808/21137081_zpid/
32,5150 E Wardlow Rd,"$658,000","4 bds 2 ba 1,604 sqft",90808,33.818537,-118.131996,21189234,https://www.zillow.com/homedetails/5150-E-Wardlow-Rd-Long-Beach-CA-90808/21189234_zpid/
33,20 37th Pl,"$10,995,000","3 bds 6 ba 7,692 sqft",90803,33.760005,-118.149641,21223773,https://www.zillow.com/homedetails/20-37th-Pl-Long-Beach-CA-90803/21223773_zpid/
34,2840 E 10th St,"$615,000","2 bds 2 ba 1,119 sqft",90804,33.778814,-118.158078,21226075,https://www.zillow.com/homedetails/2840-E-10th-St-Long-Beach-CA-90804/21226075_zpid/
35,6425 Orizaba Ave,"$639,900","3 bds 2 ba 1,463 sqft",90805,33.871443,-118.158094,21149199,https://www.zillow.com/homedetails/6425-Orizaba-Ave-Long-Beach-CA-90805/21149199_zpid/
36,1517 E 16th St,"$369,000",1 bd1 ba 582 sqft,90813,33.787256,-118.172703,21234800,https://www.zillow.com/homedetails/1517-E-16th-St-Long-Beach-CA-90813/21234800_zpid/
37,5203 E Spring St,"$689,000","3 bds 2 ba 1,130 sqft",90808,33.81094,-118.131929,21189936,https://www.zillow.com/homedetails/5203-E-Spring-St-Long-Beach-CA-90808/21189936_zpid/
38,4219 E 6th St,"$995,000","4 bds 3 ba 2,013 sqft",90814,33.773687,-118.143198,21213673,https://www.zillow.com/homedetails/4219-E-6th-St-Long-Beach-CA-90814/21213673_zpid/
39,1171 Bryant Rd,"$2,595,000","5 bds 4 ba 4,134 sqft",90815,33.780695,-118.124726,21213242,https://www.zillow.com/homedetails/1171-Bryant-Rd-Long-Beach-CA-90815/21213242_zpid/
40,2160 Pine Ave,"$620,000","4 bds 2 ba 2,144 sqft",90806,33.796423,-118.192258,21194869,https://www.zillow.com/homedetails/2160-Pine-Ave-Long-Beach-CA-90806/21194869_zpid/
41,85 Prospect Ave,"$1,079,900","3 bds 1 ba 1,390 sqft",90803,33.759457,-118.142166,21224847,https://www.zillow.com/homedetails/85-Prospect-Ave-Long-Beach-CA-90803/21224847_zpid/
42,2905 Magnolia Ave,"$834,900","3 bds 3 ba 2,393 sqft",90806,33.809964,-118.198382,21191560,https://www.zillow.com/homedetails/2905-Magnolia-Ave-Long-Beach-CA-90806/21191560_zpid/
43,3126 Charlemagne Ave,"$739,900","3 bds 2 ba 1,309 sqft",90808,33.813865,-118.130089,21189755,https://www.zillow.com/homedetails/3126-Charlemagne-Ave-Long-Beach-CA-90808/21189755_zpid/
44,2919 E Vista St,"$1,199,999","5 bds 2 ba 2,054 sqft",90803,33.766335,-118.157429,21225669,https://www.zillow.com/homedetails/2919-E-Vista-St-Long-Beach-CA-90803/21225669_zpid/
45,1723 Cedar Ave UNIT 318,"$315,000",2 bds 2 ba 826 sqft,90813,33.788686,-118.195427,21235507,https://www.zillow.com/homedetails/1723-Cedar-Ave-UNIT-318-Long-Beach-CA-90813/21235507_zpid/
46,3714 Maine Ave,"$649,000","3 bds 2 ba 1,825 sqft",90806,33.821923,-118.200986,21193828,https://www.zillow.com/homedetails/3714-Maine-Ave-Long-Beach-CA-90806/21193828_zpid/
47,3595 Santa Fe Ave SPC 288,"$499,000","3 bds 2 ba 1,600 sqft",90810,33.820369,-118.218058,2083544561,https://www.zillow.com/homedetails/3595-Santa-Fe-Ave-SPC-288-Long-Beach-CA-90810/2083544561_zpid/
48,1582 W 31st St,"$649,999","5 bds 3 ba 2,209 sqft",90810,33.813704,-118.214044,21246921,https://www.zillow.com/homedetails/1582-W-31st-St-Long-Beach-CA-90810/21246921_zpid/
49,800 E Ocean Blvd UNIT 1508,"$750,000","2 bds 2 ba 2,872 sqft",90802,33.765783,-118.182674,21231404,https://www.zillow.com/homedetails/800-E-Ocean-Blvd-UNIT-1508-Long-Beach-CA-90802/21231404_zpid/
50,3721 E Poppy St,"$549,000","3 bds 2 ba 1,386 sqft",90805,33.868771,-118.148566,21171149,https://www.zillow.com/homedetails/3721-E-Poppy-St-Long-Beach-CA-90805/21171149_zpid/
51,1318 E 2nd St APT 10,"$519,000","2 bds 2 ba 1,065 sqft",90802,33.767234,-118.174676,21232132,https://www.zillow.com/homedetails/1318-E-2nd-St-APT-10-Long-Beach-CA-90802/21232132_zpid/
52,5454 E Ocean Blvd,"$4,299,000","5 bds 3 ba 2,730 sqft",90803,33.752128,-118.130455,21217248,https://www.zillow.com/homedetails/5454-E-Ocean-Blvd-Long-Beach-CA-90803/21217248_zpid/
53,4200 E Broadway,"$1,625,000","3 bds 3 ba 2,161 sqft",90803,33.764209,-118.14351,21224372,https://www.zillow.com/homedetails/4200-E-Broadway-Long-Beach-CA-90803/21224372_zpid/
54,6538 E Rosebay St,"$899,000","4 bds 3 ba 2,530 sqft",90808,33.813594,-118.104857,21141494,https://www.zillow.com/homedetails/6538-E-Rosebay-St-Long-Beach-CA-90808/21141494_zpid/
55,1511 N Greenbrier Rd,"$1,175,000","4 bds 3 ba 2,480 sqft",90815,33.786157,-118.13372,21212958,https://www.zillow.com/homedetails/1511-N-Greenbrier-Rd-Long-Beach-CA-90815/21212958_zpid/
56,5431 E Conant St,"$898,000","5 bds 4 ba 3,044 sqft",90808,33.825314,-118.126351,21185409,https://www.zillow.com/homedetails/5431-E-Conant-St-Long-Beach-CA-90808/21185409_zpid/
57,1841 Lave Ave,"$1,088,000","4 bds 3 ba 3,295 sqft",90815,33.789608,-118.120365,21204013,https://www.zillow.com/homedetails/1841-Lave-Ave-Long-Beach-CA-90815/21204013_zpid/
58,4765 Lemon Ave,"$595,000","3 bds 2 ba 1,491 sqft",90807,33.844911,-118.179659,21158061,https://www.zillow.com/homedetails/4765-Lemon-Ave-Long-Beach-CA-90807/21158061_zpid/
59,1310 W Spring St,"$475,000","2 bds 2 ba 1,324 sqft",90810,33.811422,-118.20914,21247053,https://www.zillow.com/homedetails/1310-W-Spring-St-Long-Beach-CA-90810/21247053_zpid/
60,1901 E Ocean Blvd UNIT 302,"$799,000","2 bds 3 ba 1,528 sqft",90802,33.764892,-118.168817,21232675,https://www.zillow.com/homedetails/1901-E-Ocean-Blvd-UNIT-302-Long-Beach-CA-90802/21232675_zpid/
61,80 Park Ave,"$1,079,000","3 bds 2 ba 1,334 sqft",90803,33.758417,-118.139739,21219357,https://www.zillow.com/homedetails/80-Park-Ave-Long-Beach-CA-90803/21219357_zpid/
62,2255 San Vicente Ave,"$690,000",2 bds 1 ba 957 sqft,90815,33.797631,-118.117311,21205036,https://www.zillow.com/homedetails/2255-San-Vicente-Ave-Long-Beach-CA-90815/21205036_zpid/
63,460 Medford Ct UNIT 101,"$769,000","2 bds 3 ba 2,120 sqft",90803,33.772918,-118.114893,21210778,https://www.zillow.com/homedetails/460-Medford-Ct-UNIT-101-Long-Beach-CA-90803/21210778_zpid/
